labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note,x
261,8.67,0.0,0.0,1,1,100,False,,99
471,8.72,0.0,0.0,1,1,101,False,,100
358,8.72,0.0,0.0,1,1,101,False,,101
286,8.72,0.0,0.0,1,1,101,False,,102
240,8.72,0.0,0.0,1,1,101,False,,103
224,9.13,0.0,0.0,1,1,105,False,,104
151,9.18,0.0,0.0,1,1,106,False,,105
21,9.23,0.0,0.0,1,1,107,False,,106
418,9.23,0.0,0.0,1,1,107,False,,107
445,9.44,0.0,0.0,1,1,109,False,,108
440,9.59,0.0,0.0,1,1,110,False,,109
236,9.95,0.0,0.0,1,1,111,False,,110
321,10.05,0.0,0.0,1,1,112,False,,111
184,10.26,0.0,0.0,1,1,113,False,,112
447,10.26,0.0,0.0,1,1,113,False,,113
439,10.51,0.0,0.0,1,1,115,False,,114
446,10.77,0.0,0.0,1,1,116,False,,115
487,10.77,0.0,0.0,1,1,116,False,,116
234,10.77,0.0,0.0,1,1,116,False,,117
59,10.77,0.0,0.0,1,1,116,False,,118
164,11.28,0.0,0.0,1,1,120,False,,119
175,11.28,0.0,0.0,1,1,120,False,,120
345,11.79,0.0,0.0,1,1,122,False,,121
253,12.31,0.0,0.0,1,1,123,False,,122
385,12.62,0.0,0.0,1,1,124,False,,123
7,12.72,0.0,0.0,1,1,125,False,,124
308,12.77,0.0,0.0,1,1,126,False,,125
8,12.82,0.0,0.0,1,1,127,False,,126
140,12.82,0.0,0.0,1,1,127,False,,127
434,12.82,0.0,0.0,1,1,127,False,,128
326,12.82,0.0,0.0,1,1,127,False,,129
70,12.92,0.0,0.0,1,1,131,False,,130
244,12.97,0.0,0.0,1,1,132,False,,131
443,13.33,0.0,0.0,1,1,133,False,,132
433,13.33,0.0,0.0,1,1,133,False,,133
473,13.33,0.0,0.0,1,1,133,False,,134
161,13.33,0.0,0.0,1,1,133,False,,135
348,13.69,0.0,0.0,1,1,137,False,,136
400,14.1,0.0,0.0,1,1,138,False,,137
298,14.36,0.0,0.0,1,1,139,False,,138
287,14.36,0.0,0.0,1,1,139,False,,139
270,14.82,0.0,0.0,1,1,141,False,,140
254,14.87,0.0,0.0,1,1,142,False,,141
131,14.87,0.0,0.0,1,1,142,False,,142
106,14.87,0.0,0.0,1,1,142,False,,143
245,14.92,0.0,0.0,1,1,145,False,,144
93,15.38,0.0,0.0,1,1,146,False,,145
159,15.38,0.0,0.0,1,1,146,False,,146
176,15.38,0.0,0.0,1,1,146,False,,147
98,15.9,0.0,0.0,1,1,149,False,,148
313,15.9,0.0,0.0,1,1,149,False,,149
68,16.41,0.0,0.0,1,1,151,False,,150
178,16.41,0.0,0.0,1,1,151,False,,151
209,16.92,0.0,0.0,1,1,153,False,,152
16,16.92,0.0,0.0,1,1,153,False,,153
505,17.08,0.0,0.0,1,1,155,False,,154
226,17.44,0.0,0.0,1,1,156,False,,155
55,17.44,0.0,0.0,1,1,156,False,,156
107,17.95,0.0,0.0,1,1,158,False,,157
145,17.95,0.0,0.0,1,1,158,False,,158
317,17.95,0.0,0.0,1,1,158,False,,159
219,20.0,0.0,0.0,1,1,161,False,,160
78,20.05,0.0,0.0,1,1,162,False,,161
89,20.51,0.0,0.0,1,1,163,False,,162
197,20.51,0.0,0.0,1,1,163,False,,163
262,21.03,0.0,0.0,1,1,165,False,,164
28,21.54,0.0,0.0,1,1,166,False,,165
250,21.54,0.0,0.0,1,1,166,False,,166
62,21.54,0.0,0.0,1,1,166,False,,167
196,23.95,0.0,0.0,1,1,169,False,,168
507,24.1,0.0,0.0,1,1,170,False,,169
275,24.26,0.0,0.0,1,1,171,False,,170
85,24.62,0.0,0.0,1,1,172,False,,171
152,25.13,0.0,0.0,1,1,173,False,,172
300,25.13,0.0,0.0,1,1,173,False,,173
274,28.21,0.0,0.0,1,1,175,False,,174
355,28.21,0.0,0.0,1,1,175,False,,175
341,28.72,0.0,0.0,1,1,177,False,,176
80,28.72,0.0,0.0,1,1,177,False,,177
406,29.23,0.0,0.0,1,1,179,False,,178
99,30.26,0.0,0.0,1,1,180,False,,179
20,30.26,0.0,0.0,1,1,180,False,,180
118,32.1,0.0,0.0,1,1,182,False,,181
162,33.33,0.0,0.0,1,1,183,False,,182
203,33.85,0.0,0.0,1,1,184,False,,183
157,36.92,0.0,0.0,1,1,185,False,,184
31,37.03,0.0,0.0,1,1,186,False,,185
325,38.97,0.0,0.0,1,1,187,False,,186
330,39.03,0.0,0.0,1,1,188,False,,187
120,41.54,0.0,0.0,1,1,189,False,,188
24,45.13,0.0,0.0,1,1,190,False,,189
484,48.72,0.0,0.0,1,1,191,False,,190
