labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note,x
210,3.39,0.0,0.0,1,1,54,False,,57
473,3.39,0.0,0.0,1,1,54,False,,58
431,3.39,0.0,0.0,1,1,54,False,,59
308,3.64,0.0,0.0,1,1,61,False,,60
213,3.81,0.0,0.0,1,1,62,False,,61
44,3.81,0.0,0.0,1,1,62,False,,62
9,3.81,0.0,0.0,1,1,62,False,,63
345,3.81,0.0,0.0,1,1,62,False,,64
353,3.81,0.0,0.0,1,1,62,False,,65
258,3.81,0.0,0.0,1,1,62,False,,66
453,3.81,0.0,0.0,1,1,62,False,,67
298,3.81,0.0,0.0,1,1,62,False,,68
77,3.86,0.0,0.0,1,1,70,False,,69
382,4.07,0.0,0.0,1,1,71,False,,70
287,4.24,0.0,0.0,1,1,72,False,,71
230,4.24,0.0,0.0,1,1,72,False,,72
443,4.24,0.0,0.0,1,1,72,False,,73
224,4.62,0.0,0.0,1,1,75,False,,74
418,4.66,0.0,0.0,1,1,76,False,,75
86,4.66,0.0,0.0,1,1,76,False,,76
144,4.66,0.0,0.0,1,1,76,False,,77
30,4.66,0.0,0.0,1,1,76,False,,78
315,4.66,0.0,0.0,1,1,76,False,,79
184,4.66,0.0,0.0,1,1,76,False,,80
33,4.66,0.0,0.0,1,1,76,False,,81
166,4.66,0.0,0.0,1,1,76,False,,82
39,4.79,0.0,0.0,1,1,84,False,,83
301,5.08,0.0,0.0,1,1,85,False,,84
314,5.08,0.0,0.0,1,1,85,False,,85
346,5.08,0.0,0.0,1,1,85,False,,86
217,5.08,0.0,0.0,1,1,85,False,,87
8,5.17,0.0,0.0,1,1,89,False,,88
300,5.51,0.0,0.0,1,1,90,False,,89
252,5.51,0.0,0.0,1,1,90,False,,90
377,5.51,0.0,0.0,1,1,90,False,,91
412,5.51,0.0,0.0,1,1,90,False,,92
158,5.51,0.0,0.0,1,1,90,False,,93
103,5.51,0.0,0.0,1,1,90,False,,94
89,5.51,0.0,0.0,1,1,90,False,,95
282,5.55,0.0,0.0,1,1,97,False,,96
116,5.59,0.0,0.0,1,1,98,False,,97
99,5.93,0.0,0.0,1,1,99,False,,98
122,5.93,0.0,0.0,1,1,99,False,,99
160,5.93,0.0,0.0,1,1,99,False,,100
225,6.06,0.0,0.0,1,1,102,False,,101
402,6.36,0.0,0.0,1,1,103,False,,102
195,6.36,0.0,0.0,1,1,103,False,,103
41,6.36,0.0,0.0,1,1,103,False,,104
28,6.36,0.0,0.0,1,1,103,False,,105
56,6.36,0.0,0.0,1,1,103,False,,106
117,6.36,0.0,0.0,1,1,103,False,,107
98,6.78,0.0,0.0,1,1,109,False,,108
229,6.78,0.0,0.0,1,1,109,False,,109
242,6.78,0.0,0.0,1,1,109,False,,110
390,7.2,0.0,0.0,1,1,112,False,,111
264,7.21,0.0,0.0,1,1,113,False,,112
344,7.63,0.0,0.0,1,1,114,False,,113
50,7.63,0.0,0.0,1,1,114,False,,114
72,7.63,0.0,0.0,1,1,114,False,,115
367,7.63,0.0,0.0,1,1,114,False,,116
21,8.05,0.0,0.0,1,1,118,False,,117
214,8.05,0.0,0.0,1,1,118,False,,118
171,8.05,0.0,0.0,1,1,118,False,,119
447,8.47,0.0,0.0,1,1,121,False,,120
358,8.47,0.0,0.0,1,1,121,False,,121
456,8.47,0.0,0.0,1,1,121,False,,122
164,8.47,0.0,0.0,1,1,121,False,,123
238,8.9,0.0,0.0,1,1,125,False,,124
106,8.9,0.0,0.0,1,1,125,False,,125
317,8.9,0.0,0.0,1,1,125,False,,126
85,9.32,0.0,0.0,1,1,128,False,,127
174,9.32,0.0,0.0,1,1,128,False,,128
145,9.75,0.0,0.0,1,1,130,False,,129
209,10.17,0.0,0.0,1,1,131,False,,130
270,10.17,0.0,0.0,1,1,131,False,,131
395,10.17,0.0,0.0,1,1,131,False,,132
389,10.17,0.0,0.0,1,1,131,False,,133
467,10.34,0.0,0.0,1,1,135,False,,134
306,10.42,0.0,0.0,1,1,136,False,,135
24,10.59,0.0,0.0,1,1,137,False,,136
58,10.85,0.0,0.0,1,1,138,False,,137
274,11.02,0.0,0.0,1,1,139,False,,138
269,11.02,0.0,0.0,1,1,139,False,,139
93,11.44,0.0,0.0,1,1,141,False,,140
121,11.86,0.0,0.0,1,1,142,False,,141
472,12.29,0.0,0.0,1,1,143,False,,142
378,12.29,0.0,0.0,1,1,143,False,,143
375,12.33,0.0,0.0,1,1,145,False,,144
234,13.98,0.0,0.0,1,1,146,False,,145
421,14.41,0.0,0.0,1,1,147,False,,146
476,15.25,0.0,0.0,1,1,148,False,,147
26,16.1,0.0,0.0,1,1,149,False,,148
359,16.1,0.0,0.0,1,1,149,False,,149
129,16.1,0.0,0.0,1,1,149,False,,150
268,16.31,0.0,0.0,1,1,152,False,,151
226,16.95,0.0,0.0,1,1,153,False,,152
285,18.22,0.0,0.0,1,1,154,False,,153
507,18.22,0.0,0.0,1,1,154,False,,154
43,18.22,0.0,0.0,1,1,154,False,,155
416,18.43,0.0,0.0,1,1,157,False,,156
64,18.6,0.0,0.0,1,1,158,False,,157
330,20.17,0.0,0.0,1,1,159,False,,158
25,20.56,0.0,0.0,1,1,160,False,,159
313,20.76,0.0,0.0,1,1,161,False,,160
437,20.76,0.0,0.0,1,1,161,False,,161
168,21.19,0.0,0.0,1,1,163,False,,162
151,22.2,0.0,0.0,1,1,164,False,,163
219,22.88,0.0,0.0,1,1,165,False,,164
439,23.01,0.0,0.0,1,1,166,False,,165
341,23.73,0.0,0.0,1,1,167,False,,166
325,23.73,0.0,0.0,1,1,167,False,,167
302,27.54,0.0,0.0,1,1,169,False,,168
133,27.97,0.0,0.0,1,1,170,False,,169
340,27.97,0.0,0.0,1,1,170,False,,170
388,28.81,0.0,0.0,1,1,172,False,,171
256,30.08,0.0,0.0,1,1,173,False,,172
178,31.36,0.0,0.0,1,1,174,False,,173
434,31.65,0.0,0.0,1,1,175,False,,174
157,33.05,0.0,0.0,1,1,176,False,,175
374,35.17,0.0,0.0,1,1,177,False,,176
197,39.41,0.0,0.0,1,1,178,False,,177
484,39.83,0.0,0.0,1,1,179,False,,178
80,41.53,0.0,0.0,1,1,180,False,,179
40,41.82,0.0,0.0,1,1,181,False,,180
159,44.07,0.0,0.0,1,1,182,False,,181
424,44.49,0.0,0.0,1,1,183,False,,182
326,46.19,0.0,0.0,1,1,184,False,,183
349,46.44,0.0,0.0,1,1,185,False,,184
110,46.61,0.0,0.0,1,1,186,False,,185
505,47.75,0.0,0.0,1,1,187,False,,186
